Cohort Year,School,Conference,Sport,State,GSR,FGR
2013,University of Louisville,Atlantic Coast Conference,Football,KY,94,89
2013,University of Maine,Colonial Athletic Association,Football,ME,88,74
2013,Marist College,Pioneer Football League,Football,NY,80,100
2013,Marshall University,Conference USA,Football,WV,84,63
2013,"University of Maryland, College Park",Big Ten Conference,Football,MD,85,68
2013,"University of Massachusetts, Amherst",Independent,Football,MA,67,51
2013,McNeese State University,Southland Conference,Football,LA,81,80
2013,University of Memphis,American Athletic Conference,Football,TN,90,63
2013,Mercer University,Southern Conference,Football,GA,70,71
2013,Merrimack College,Independent,Football,MA,72,63
2013,Miami University (Ohio),Mid-American Conference,Football,OH,89,72
2013,University of Miami (Florida),Atlantic Coast Conference,Football,FL,76,42
2013,Michigan State University,Big Ten Conference,Football,MI,86,75
2013,University of Michigan,Big Ten Conference,Football,MI,92,73
2013,Middle Tennessee State University,Conference USA,Football,TN,95,70
2013,"University of Minnesota, Twin Cities",Big Ten Conference,Football,MN,93,74
2013,Mississippi State University,Southeastern Conference,Football,MS,81,68
2013,Mississippi Valley State University,Southwestern Athletic Conf.,Football,MS,86,67
2013,University of Mississippi,Southeastern Conference,Football,MS,68,49
2013,"University of Missouri, Columbia",Southeastern Conference,Football,MO,84,64
2013,Monmouth University,Big South Conference,Football,NJ,80,71
2013,Montana State University-Bozeman,Big Sky Conference,Football,MT,76,65
2013,University of Montana,Big Sky Conference,Football,MT,69,59
2013,Morehead State University,Pioneer Football League,Football,KY,68,
2013,Morgan State University,Mid-Eastern Athletic Conf.,Football,MD,66,56
2013,Murray State University,Ohio Valley Conference,Football,KY,78,53
2013,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Football,NC,72,62
2013,The University of North Carolina at Charlotte,Conference USA,Football,NC,80,69
2013,"University of Nebraska, Lincoln",Big Ten Conference,Football,NE,88,66
2013,"University of Nevada, Las Vegas",Mountain West Conference,Football,NV,69,61
2013,"University of Nevada, Reno",Mountain West Conference,Football,NV,75,48
2013,University of New Hampshire,Colonial Athletic Association,Football,NH,96,79
2013,New Mexico State University,Independent,Football,NM,80,59
2013,University of New Mexico,Mountain West Conference,Football,NM,61,34
2013,Nicholls State University,Southland Conference,Football,LA,77,68
2013,Norfolk State University,Mid-Eastern Athletic Conf.,Football,VA,77,67
2013,University of North Alabama,Independent,Football,AL,41,39
2013,North Carolina A&T State University,Mid-Eastern Athletic Conf.,Football,NC,78,63
2013,North Carolina Central University,Mid-Eastern Athletic Conf.,Football,NC,69,45
2013,North Carolina State University,Atlantic Coast Conference,Football,NC,76,54
2013,North Dakota State University,Missouri Valley Football Conference,Football,ND,70,51
2013,University of North Dakota,Independent,Football,ND,67,50
2013,University of North Texas,Conference USA,Football,TX,81,62
2013,University of Louisiana Monroe,Sun Belt Conference,Football,LA,85,68
2013,Northern Arizona University,Big Sky Conference,Football,AZ,82,69
2013,University of Northern Colorado,Big Sky Conference,Football,CO,88,69
2013,Northern Illinois University,Mid-American Conference,Football,IL,84,65
2013,University of Northern Iowa,Missouri Valley Football Conference,Football,IA,76,56
2013,Northwestern State University,Southland Conference,Football,LA,82,63
2013,Northwestern University,Big Ten Conference,Football,IL,97,93
2013,University of Notre Dame,Independent,Football,IN,91,85
2013,The Ohio State University,Big Ten Conference,Football,OH,69,45
2013,Ohio University,Mid-American Conference,Football,OH,89,75
2013,Oklahoma State University,Big 12 Conference,Football,OK,68,50
2013,University of Oklahoma,Big 12 Conference,Football,OK,70,54
2013,Old Dominion University,Conference USA,Football,VA,63,41
2013,Oregon State University,Pac-12 Conference,Football,OR,75,63
2013,University of Oregon,Pac-12 Conference,Football,OR,78,63
2013,Pennsylvania State University,Big Ten Conference,Football,PA,85,67
2013,University of Pennsylvania,The Ivy League,Football,PA,92,90
2013,University of Pittsburgh,Atlantic Coast Conference,Football,PA,86,56
2013,Portland State University,Big Sky Conference,Football,OR,71,65
2013,Prairie View A&M University,Southwestern Athletic Conf.,Football,TX,67,52
2013,Princeton University,The Ivy League,Football,NJ,97,100
2013,Purdue University,Big Ten Conference,Football,IN,79,66
2013,University of Rhode Island,Colonial Athletic Association,Football,RI,81,56
2013,Rice University,Conference USA,Football,TX,88,86
2013,University of Richmond,Colonial Athletic Association,Football,VA,86,80
2013,Robert Morris University,Big South Conference,Football,PA,69,46
2013,"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,Football,NJ,70,54
2013,Sacred Heart University,Northeast Conference,Football,CT,76,58
2013,Saint Francis University (Pennsylvania),Northeast Conference,Football,PA,76,60
2013,Sam Houston State University,Southland Conference,Football,TX,62,59
2013,Samford University,Southern Conference,Football,AL,98,82
2013,San Diego State University,Mountain West Conference,Football,CA,85,73
2013,University of San Diego,Pioneer Football League,Football,CA,83,
2013,San Jose State University,Mountain West Conference,Football,CA,72,68
2013,University of South Alabama,Sun Belt Conference,Football,AL,77,57
2013,South Carolina State University,Mid-Eastern Athletic Conf.,Football,SC,72,71
2013,"University of South Carolina, Columbia",Southeastern Conference,Football,SC,89,65
2013,South Dakota State University,Missouri Valley Football Conference,Football,SD,80,62
2013,University of South Dakota,Missouri Valley Football Conference,Football,SD,84,59
2013,University of South Florida,American Athletic Conference,Football,FL,76,61
2013,Southeast Missouri State University,Ohio Valley Conference,Football,MO,75,65
2013,Southeastern Louisiana University,Southland Conference,Football,LA,72,57
2013,University of Southern California,Pac-12 Conference,Football,CA,82,62
2013,Southern Illinois University at Carbondale,Missouri Valley Football Conference,Football,IL,76,54
2013,Southern Methodist University,American Athletic Conference,Football,TX,75,64
2013,The University of Southern Mississippi,Conference USA,Football,MS,70,55
2013,"Southern University, Baton Rouge",Southwestern Athletic Conf.,Football,LA,51,45
2013,Southern Utah University,Big Sky Conference,Football,UT,69,59
2013,Missouri State University,Missouri Valley Football Conference,Football,MO,71,66
2013,Texas State University,Sun Belt Conference,Football,TX,71,61
2013,University of Louisiana at Lafayette,Sun Belt Conference,Football,LA,75,62
2013,Stanford University,Pac-12 Conference,Football,CA,90,86
2013,Stephen F. Austin State University,Southland Conference,Football,TX,63,42
2013,Stetson University,Pioneer Football League,Football,FL,88,
2013,Stony Brook University,Colonial Athletic Association,Football,NY,81,60
2013,Syracuse University,Atlantic Coast Conference,Football,NY,88,78
2013,Temple University,American Athletic Conference,Football,PA,86,72
2013,Tennessee State University,Ohio Valley Conference,Football,TN,55,36
2013,Tennessee Technological University,Ohio Valley Conference,Football,TN,76,67
2013,University of Tennessee at Chattanooga,Southern Conference,Football,TN,85,66
2013,"University of Tennessee, Knoxville",Southeastern Conference,Football,TN,83,63
2013,University of Tennessee at Martin,Ohio Valley Conference,Football,TN,69,54
2013,"Texas A&M University, College Station",Southeastern Conference,Football,TX,73,55
2013,Texas Christian University,Big 12 Conference,Football,TX,70,59
2013,Texas Southern University,Southwestern Athletic Conf.,Football,TX,82,55
2013,Texas Tech University,Big 12 Conference,Football,TX,73,52
2013,University of Texas at Austin,Big 12 Conference,Football,TX,81,64
2013,University of Texas at El Paso,Conference USA,Football,TX,83,63
2013,University of Texas at San Antonio,Conference USA,Football,TX,83,61
2013,University of Toledo,Mid-American Conference,Football,OH,86,75
2013,Towson University,Colonial Athletic Association,Football,MD,85,59
2013,Troy University,Sun Belt Conference,Football,AL,77,63
2013,Tulane University,American Athletic Conference,Football,LA,88,74
2013,The University of Tulsa,American Athletic Conference,Football,OK,75,66
2013,U.S. Air Force Academy,Mountain West Conference,Football,CO,87,
2013,U.S. Military Academy,Independent,Football,NY,75,
2013,U.S. Naval Academy,American Athletic Conference,Football,MD,87,
2013,Utah State University,Mountain West Conference,Football,UT,91,67
2013,University of Utah,Pac-12 Conference,Football,UT,92,70
2013,Valparaiso University,Pioneer Football League,Football,IN,78,
2013,Vanderbilt University,Southeastern Conference,Football,TN,95,80
2013,Villanova University,Colonial Athletic Association,Football,PA,93,91
2013,Virginia Military Institute,Southern Conference,Football,VA,81,68
2013,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Football,VA,87,75
2013,University of Virginia,Atlantic Coast Conference,Football,VA,90,77
2013,Wagner College,Northeast Conference,Football,NY,85,75
2013,Wake Forest University,Atlantic Coast Conference,Football,NC,88,73
2013,Washington State University,Pac-12 Conference,Football,WA,82,59
2013,University of Washington,Pac-12 Conference,Football,WA,88,65
2013,Weber State University,Big Sky Conference,Football,UT,63,40
2013,West Virginia University,Big 12 Conference,Football,WV,69,58
2013,Western Carolina University,Southern Conference,Football,NC,82,63
2013,Western Illinois University,Missouri Valley Football Conference,Football,IL,81,61
2013,Western Kentucky University,Conference USA,Football,KY,64,46
2013,Western Michigan University,Mid-American Conference,Football,MI,73,39
2013,William & Mary,Colonial Athletic Association,Football,VA,85,81
2013,University of Wisconsin-Madison,Big Ten Conference,Football,WI,91,77
2013,University of Wyoming,Mountain West Conference,Football,WY,88,51
2013,Yale University,The Ivy League,Football,CT,99,
2013,Youngstown State University,Missouri Valley Football Conference,Football,OH,68,55
2013,University of Central Arkansas,Southland Conference,Football,AR,73,55
2013,Elon University,Colonial Athletic Association,Football,NC,98,78
2013,Gardner-Webb University,Big South Conference,Football,NC,70,55
2013,Kennesaw State University,Big South Conference,Football,GA,64,
2013,Presbyterian College,Big South Conference,Football,SC,76,60
2013,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,Football,AR,64,41
2013,University of the Incarnate Word,Southland Conference,Football,TX,85,60
2013,Wofford College,Southern Conference,Football,SC,94,82
